"","Report date","Company code","Fiscal year","Earnings","Cash Flow","Leverage Ratio(Book-based)","Leverage Ration(Market-based)"
"1314",2011-03-31,29433,2010,11.183,0,0.000695938251296976,Inf
"1315",2012-03-31,29433,2011,-34.3,5.6,0.00065087002372792,NA
"1316",2013-03-31,29433,2012,-11.797,-5.509,0.000499258753585238,Inf
"1317",2014-03-31,29433,2013,-26.566,-0.0779999999999959,0.000774589516892959,NA
"1318",2015-03-31,29433,2014,-56.026,6.368,0.634045564246092,NA
"1319",2017-03-31,29569,2016,-91.002,17.969,0.00468707667298835,0.0142556960982242
"1320",2011-03-31,29627,2010,10.935,1.276,0.191966531628141,Inf
"1321",2012-03-31,29627,2011,-1.614,-1.23,0,NA
"1322",2013-03-31,29627,2012,-11.2,0.404999999999999,0,NA
"1323",2014-03-31,29627,2013,-7.441,-1.369,0.0600361387524495,Inf
"1324",2015-03-31,29627,2014,4.747,3.829,0.0221300429546029,Inf
"1325",2016-03-31,29627,2015,-11.62,-2.728,0.00396342017708125,Inf
"1326",2017-03-31,29636,2016,5.581,10.942,0.200870720774327,NA
"1327",2011-04-30,29698,2010,1.978,0.0859999999999999,0.257021202134795,NA
"1328",2012-04-30,29698,2011,1.134,0.531000000000001,0.194942862618133,NA
"1329",2013-04-30,29698,2012,0.493,-0.0610000000000004,0.182687156111541,NA
"1330",2014-04-30,29698,2013,2.919,0.833,0.235210672702205,NA
"1331",2015-04-30,29698,2014,0.903,-2.572,0.257505765427427,NA
"1332",2016-04-30,29698,2015,2.083,1.457,0.207815171486607,NA
"1333",2017-04-30,29698,2016,1.39,-0.832,0.21576733295411,NA
"1334",2011-04-30,29705,2010,14.244,-9.572,0,0
"1335",2012-04-30,29705,2011,8.489,-24.999,0,0
"1336",2013-04-30,29705,2012,22.779,11.216,0,0
"1337",2014-04-30,29705,2013,22.206,4.52,0,0
"1338",2015-04-30,29705,2014,20.882,12.871,0,0
"1339",2016-04-30,29705,2015,2.061,-27.991,0,0
"1340",2017-04-30,29705,2016,10.342,4.886,0,0
"1341",2011-03-31,29791,2010,139.09,-42.528,0,0
"1342",2012-03-31,29791,2011,229.436,16.736,0,0
"1343",2013-03-31,29791,2012,73.136,-68.984,0,0
"1344",2014-03-31,29791,2013,-18.266,-4.274,0,0
"1345",2015-03-31,29791,2014,50.593,23.983,0,0
"1346",2016-03-31,29791,2015,46.466,10.167,0,0
"1347",2011-03-31,29930,2010,12.22,1.222,0.0434367914940192,12.6464339908953
"1348",2012-03-31,29930,2011,-48.514,30.103,0.268074389617014,393.409356725146
"1349",2013-03-31,29930,2012,-91.511,-13.228,0.229948184834665,77.1553930530165
"1350",2014-03-31,29930,2013,107.359,5.196,0.273721746384698,167.518234165067
"1351",2015-03-31,29930,2014,11.453,36.756,0.189920808042489,114.593705293276
"1352",2016-03-31,29930,2015,10.563,-39.23,0.0620627425176354,14.1505791505792
"1353",2017-03-31,29930,2016,37.573,-12.801,0.0516142789340096,8.76938059992209
"1354",2011-03-31,30032,2010,14.849,0.457999999999998,0.292019820718145,NA
"1355",2012-03-31,30032,2011,18.732,4.60699999999999,0.270961127549752,NA
"1356",2013-03-31,30032,2012,57.744,-2.58300000000001,0.331423968980506,NA
"1357",2014-03-31,30032,2013,124.243,2.58500000000001,0.252233996172088,NA
"1358",2015-03-31,30032,2014,186.853,1.03199999999998,0.272368772611789,NA
"1359",2016-03-31,30032,2015,152.592,-2.12299999999999,0.269539480844219,NA
"1360",2017-03-31,30032,2016,198.219,1.17000000000002,0.305486924620092,NA
"1361",2017-03-31,30076,2016,0.612,-36.247,0.35039087013802,NA
"1362",2011-03-31,30161,2010,74.485,-23.403,0.206397792516749,232.45325443787
"1363",2012-03-31,30161,2011,74.319,133.804,0.393536164433333,648.952924393723
"1364",2011-03-31,30170,2010,596.219,-197.593,0.190866069660226,92.2426986830626
"1365",2012-03-31,30170,2011,488.765,-199.258,0.199127880103725,2.32884341022168
"1366",2013-03-31,30170,2012,277.051,78.653,0.19607385317831,1.95982352663615
"1367",2014-03-31,30170,2013,365.594,21.7360000000001,0.168916213005444,1.958283444426
"1368",2015-03-31,30170,2014,600.801,35.8009999999999,0.179074861319034,1.55032880162735
"1369",2016-03-31,30170,2015,444.081,-10.289,0.226048711742069,1.69914138891435
